Ticker,Nombre,Fecha,Hora,Último precio,VAR.,Volumen,Aper.,Mínimo,Máximo,Cierre anterior,Última cotización,
ALUA,Aluar Aluminio Argentino,26/07/2024,11:42:29,"AR$ 1.005,00","1,21%",39.484.605,"995,00","995,00","1.040,00","993,00",14:22,Ver detalle  Operar
ALUAC,Aluar Aluminio Argentino,26/07/2024,11:42:29,"US$ 0,26","0,00%",0,"0,00","0,00","0,00","0,26",24/06/2020,Ver detalle  Operar
ALUAD,Aluar Aluminio Argentino,26/07/2024,11:42:29,"US$ 0,82","0,00%",24,"0,82","0,00","0,00","0,82",14:21,Ver detalle  Operar
BBAR,Banco BBVA Argentina,26/07/2024,11:42:29,"AR$ 3.620,00","1,69%",47.644.895,"3.565,00","3.565,00","3.850,00","3.560,00",14:21,Ver detalle  Operar
BBARC,Banco BBVA Argentina,26/07/2024,11:42:29,"US$ 1,56","0,00%",0,"0,00","0,00","0,00","1,24",16/09/2020,Ver detalle  Operar
BBARD,Banco BBVA Argentina,26/07/2024,11:42:29,"US$ 1,43","0,00%",0,"0,00","0,00","0,00","1,34",25/10/2021,Ver detalle  Operar
BMA,Banco Macro,26/07/2024,11:42:29,"AR$ 6.580,00","2,49%",40.333.030,"6.500,00","6.500,00","6.650,00","6.420,00",14:21,Ver detalle  Operar
BMA.C,Banco Macro,26/07/2024,11:42:29,"US$ 1,53","0,00%",0,"0,00","0,00","0,00","1,24",13/07/2021,Ver detalle  Operar
BMA.D,Banco Macro,26/07/2024,11:42:29,"US$ 4,70","0,00%",0,"0,00","0,00","0,00","4,60",25/07/2024,Ver detalle  Operar
BYMA,Bolsas Y Mercados Argentinos,26/07/2024,11:42:29,"AR$ 320,00","1,11%",5.039.727,"324,00","316,50","324,00","316,50",14:22,Ver detalle  Operar
BYMAC,Bolsas Y Mercados Argentinos,26/07/2024,11:42:29,"US$ 0,24","0,00%",0,"0,00","0,00","0,00","0,24",25/07/2024,Ver detalle  Operar
BYMAD,Bolsas Y Mercados Argentinos,26/07/2024,11:42:29,"US$ 0,25","0,00%",0,"0,00","0,00","0,00","0,26",25/07/2024,Ver detalle  Operar